collection_no,record_type,formation,lng,lat,collection_name,collection_subset,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,reference_no,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate
94616,col,,-61.75,17.016666,Indian Creek,,,5,Holocene,,0.0117,0,32225,AG,,,estimated from map,minutes,small collection,,gp_mid,-61.75,17.02,234
13221,col,,164.956665,-21.336666,"Pindai Cave, Nepoui Peninsula",,"Pindaï Caves, Grande Terre",27,Holocene,,0.0117,0,4393,NC,,,stated in text,seconds,outcrop,West coast of the Island of Grande Terre. Caves located 400 m from the sea.,gp_mid,164.96,-21.34,834
13738,col,,116.150002,-8.6333,Wajak Cave Mammal Fauna,,,18,Holocene,,0.0117,0,6145,ID,Java,,based on nearby landmark,4,,From the Wajak (Wadjak) Cave site discovered in 1888 south of Kediri in East Java. The site has since been destroyed by local marble mining industry. Lat/Long Given for the town of Kediri.,gp_mid,116.15,-8.63,620
21427,col,Galana Boi,36.358002,3.75,East Turkana - Area 204 - Galana Boi,,"ETE Locality 240, Area 204 - Galana Boi, ",3,Holocene,,0.0117,0,4735,KE,,,,4,basin,"956.25km2 estimate from map, Sibilot subregion, seconds changed by one to allow separation on map",gp_mid,36.36,3.75,712
21437,col,Galana Boi,36.317001,3.7,East Turkana - Area 250 - Galana Boi,,"ETE Locality 250, Area 250 - Galana Boi, ",3,Holocene,,0.0117,0,4735,KE,,,,4,basin,"9512.5km2 estimate from map, Sibilot subregion, seconds changed by one to allow separation on map",gp_mid,36.32,3.7,712
21487,col,Galana Boi,36.307999,4.091,East Turkana - Area 117 - Galana Boi,,"ETE Locality 301, Area 117 - Galana Boi, ",2,Holocene,,0.0117,0,4469,KE,,,,4,basin,"9456km2 estimate from map, Il Naibar Lowlands, seconds changes by two to allow separation on map",gp_mid,36.31,4.09,712
21528,col,Galana Boi,36.233601,4.2878,East Turkana - Area 6A - Galana Boi,,"ETE Locality 343, Area 6A - Galana Boi, ",1,Holocene,,0.0117,0,4757,KE,,,,4,basin,"3km2 estimate from map, Ileret subregion, seconds changed to allow separation on map",gp_mid,36.23,4.29,712
21529,col,Galana Boi,36.391701,3.775,East Turkana - Area 203 - Galana Boi,,"ETE Locality 344, Area 203 - Galana Boi, ",1,Holocene,,0.0117,0,4469,KE,,,,4,basin,"4412.5km2 estimate from map, Sibilot subregion",gp_mid,36.39,3.78,712
21686,col,,-67.583298,8.5667,Fundo Pecuario Masaguaral,,"ETE Locality 504, Fundo Pecuario Masaguaral, ",70,Holocene,,0.0117,0,4785,VE,Guarico,Calabozo,,4,,"Working ranch in the Llanos, located 45 km S of Calabozo at ~100 m elevation. Encompasses more than 3,000 ha of savanna and gallery forest. 76% of area is grassland with scattered trees; remaining 24% is gallery forest.",gp_mid,-67.58,8.57,201
21687,col,,-60,-2.5,Manaus,,"ETE Locality 505, Manaus, ",50,Holocene,,0.0117,0,4787,BR,Districto Agropecura,Amazonas,,4,,"149500,000 ha of relatively undisturbed upland Amazonian rainforest. Located on Amazon's meander plain, although there is no major river in study area.",gp_mid,-60,-2.5,201
21688,col,,144.867004,-15.4833,AHG Study Area,,"ETE Locality 506, AHG Study Area, ",59,Holocene,,0.0117,0,4789,AU,Queensland,,,4,,"Located in the NE coastal region of Queensland, 6300 sq km of rainforest.",gp_mid,144.87,-15.48,801
